ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,PSF,Census,Date,Surv1,Height,Leaves,Tiller,Long,Short,Surv2,logMass.harv,logMass.both
117,95,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,4.8,7,2,,,1,-0.6472544,-0.873777936
118,95,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,1,7.3,7,1,,,0,-0.4400149,-0.936143111
119,95,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,7.8,6,1,,,1,-0.530994,-0.621808
120,95,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,9,6,1,,,0,-0.51147,-0.65524
1,19,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,11.8,9,2,,,1,-0.374424,-0.678218
2,19,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,6,10,3,,,1,-0.536564,-0.81164242
3,19,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,0,,,,,,1,-1.07486,-0.9979
4,19,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,0.8,3,1,,,1,-0.9985404,-0.935739656
5,19,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,12.8,19,4,,,1,-0.175174,-0.596018
6,19,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,7.7,3,1,,,1,-0.532621,-0.619022
7,23,S,BOGR,BOER,BOGR,Live,Away,2,4-Sep-14,1,15.8,10,3,,,1,-0.217854,-0.734628
8,23,S,BOGR,BOER,BOER,Live,Home,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
9,23,S,BOGR,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,9.4,25,7,,,1,-0.2141002,-0.563013458
10,23,S,BOGR,BOGR,BOER,Live,Away,2,4-Sep-14,1,8.1,15,5,,,1,-0.3409613,-0.687352767
11,23,S,BOGR,BOGR,BOGR,Live,Home,2,4-Sep-14,1,8.3,15,4,,,1,-0.248389,-0.470648
12,23,S,BOGR,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,1.9,4,1,,,1,-0.626987,-0.457434
13,34,S,BOGR,BOER,BOGR,Live,Away,2,4-Sep-14,1,13.5,8,2,,,1,-0.346765,-0.72558
14,34,S,BOGR,BOER,BOER,Live,Home,2,4-Sep-14,1,2.8,7,1,,,1,-0.8266864,-0.935863796
15,34,S,BOGR,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,5,9,1,,,1,-0.637647,-0.93600035
16,34,S,BOGR,BOGR,BOER,Live,Away,2,4-Sep-14,1,8.6,20,7,,,1,-0.2828418,-0.562963802
17,34,S,BOGR,BOGR,BOGR,Live,Home,2,4-Sep-14,1,9.4,9,2,,,1,-0.413472,-0.611354
18,34,S,BOGR,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,4.3,3,1,,,1,-0.587939,-0.524298
19,36,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,16.3,8,2,,,1,-0.301209,-0.803588
20,36,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,5.2,11,3,,,1,-0.6053056,-0.811592764
21,36,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
22,36,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,11,18,3,,,1,-0.106929,-0.81195277
23,36,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,20,7,1,,,1,-0.3325,-0.9617
24,36,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,11,24,7,,,1,0.07001,-0.38078
25,49,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,11.7,14,3,,,1,-0.284561,-0.620402
26,49,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,6.4,12,2,,,1,-0.5097712,-0.873877248
27,49,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
28,49,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
29,49,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,12.5,19,6,,,1,0.002925,-0.4776
30,49,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,3.7,3,1,,,1,-0.597701,-0.507582
31,50,S,BOGR,BOER,BOGR,Live,Away,2,4-Sep-14,1,13.1,18,6,,,1,0.012687,-0.494316
32,50,S,BOGR,BOER,BOER,Live,Home,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
33,50,S,BOGR,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,7.8,10,3,,,1,-0.3818954,-0.811754146
34,50,S,BOGR,BOGR,BOER,Live,Away,2,4-Sep-14,,,,,,,,-1.07486,-0.9979
35,50,S,BOGR,BOGR,BOGR,Live,Home,2,4-Sep-14,1,9.4,3,1,,,1,-0.504962,-0.666384
36,50,S,BOGR,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,11.3,10,3,,,1,-0.291069,-0.609258
37,52,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,9.8,5,1,,,1,-0.498454,-0.677528
38,52,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,10.8,18,3,,,1,-0.1241144,-0.811940356
39,52,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,3.5,6,1,,,1,-0.7665375,-0.935907245
40,52,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,15.3,23,3,,,1,0.2625571,-0.812219671
41,52,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,11.8,15,3,,,1,-0.282934,-0.623188
42,52,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,4.5,6,2,,,1,-0.493195,-0.47484
43,53,S,BOER,BOER,BOGR,Live,Away,2,4-Sep-14,1,25.7,27,5,,,1,0.126199,-0.900382
44,53,S,BOER,BOER,BOER,Live,Home,2,4-Sep-14,1,11.8,13,3,,,1,-0.0381874,-0.812002426
45,53,S,BOER,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,4.7,4,1,,,1,-0.6634251,-0.935981729
46,53,S,BOER,BOGR,BOER,Live,Away,2,4-Sep-14,1,15.1,19,5,,,1,0.2605277,-0.687787257
47,53,S,BOER,BOGR,BOGR,Live,Home,2,4-Sep-14,1,18.2,15,4,,,1,-0.087316,-0.746462
48,53,S,BOER,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,6.4,7,1,,,1,-0.553772,-0.582804
49,55,S,BOER,BOER,BOGR,Live,Away,2,4-Sep-14,1,17.8,27,8,,,1,0.272136,-0.515198
50,55,S,BOER,BOER,BOER,Live,Home,2,4-Sep-14,1,6.6,8,3,,,1,-0.4850078,-0.811679662
51,55,S,BOER,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,0.7,3,1,,,1,-1.0071331,-0.935733449
52,55,S,BOER,BOGR,BOER,Live,Away,2,4-Sep-14,1,4.5,14,4,,,1,-0.6578765,-0.749339315
53,55,S,BOER,BOGR,BOGR,Live,Home,2,4-Sep-14,1,10.6,4,1,,,1,-0.485438,-0.699816
54,55,S,BOER,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,24.7,22,8,,,1,0.384399,-0.707432
55,56,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,9.5,13,3,,,1,-0.320355,-0.55911
56,56,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,14.4,11,2,,,1,0.1776448,-0.874373808
57,56,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,15.3,16,5,,,1,0.2777131,-0.687799671
